id_centro_vacunacion,id_ubigeo,nombre,latitud,longitud,entidad_administra,id_eess
119,459,I.E. Las Mercedes,-13.162139,-74.210698,DIRESA,0
120,444,Case Municipalidad De Huamanga,-13.149851,-74.227728,DIRESA,0
121,444,Ex. I.E. Guaman Poma De Ayala,-13.153746,-74.223992,DIRESA,0
122,444,MICRO RED LOS LICENCIADOS,-13.1432027,-74.2311973,DIRESA,0
123,447,Institucion Educativa Abrahan Valdelomar,-13.180507,-74.220856,DIRESA,0
124,444,Terminal Terrestre Los Libertadores De America,-13.134276,-74.23036,DIRESA,0
125,458,I.E. Señor De Los Milagros,-13.15675,-74.216241,DIRESA,0
126,447,I.E. Jose Abelardo Quiñones,-13.19199167,-74.22400157,DIRESA,0
127,466,I.E nuestra Señora De Fatima,-13.92375464,-74.33578849,DIRESA,0
128,470,Eespp. Jose Salvador Cavero Ovalle,-12.93687,-74.244139,DIRESA,0
129,482,I.E. Señor De Los Milagros,-13.01310667,-73.97698,DIRESA,0
130,493,I.E.P. Santa Rosa De Lima,-14.68641667,-74.11954333,MINSA,0
131,493,I.E.S. Nuestra Señora Del Perpetuo Socorro,-14.68641667,-74.11954333,MINSA,0
132,493,Instituto Superior Pedagogico De Puquio,-14.68786996,-74.12128138,MINSA,0
133,532,I.E Felipe Guaman Poma De Ayala,-14.00814,-73.84390667,DIRESA,0
134,543,I.E martires De La Educacion,-13.74943557,-74.06702115,DIRESA,0
"135,555,""I.E P"""" Micaela Bastidas"""""",-13.65732406,-73.95321237,DIRESA,0"
137,826,I.E. 36005 Ascension,-12.782758,-74.981384,DIRESA,0
138,826,I.E. Secundaria Rosa De America,-12.780081,-74.990037,DIRESA,0
139,809,C. S. Santa Ana,-12.787558,-74.966672,MINSA,0
141,809,Conafovicer (Puyhuan Grande - San Cristobal),-12.7800755,-74.9667152,DIRESA,0
142,809,I.E. 37001 PEPIN,-12.7871436,-74.9727804,MINSA,0
143,809,I.E. 36009 Aplicación Yananaco,-12.7863273,-74.9768341,MINSA,0
144,809,I.E. 36011 San Cristobal,-12.781151,-74.97128,MINSA,0
145,809,I.E. San Juan Maria Vianey,-12.785233,-74.984754,ESSALUD,0
146,1859,I.E Comercio,-8.37719,-74.5373,ESSALUD,0
147,1859,I.E Daniel Alcides Carrion- Ex Tambo,-8.38671,-74.55492,MINSA,0
148,1859,I.E Nuestra Señora De Guadalupe,-8.38183,-74.52715,MINSA,0
149,1865,I.E San Fernando,-8.39838,-74.53433,MINSA,0
150,1865,I.E. Oswaldo Lima Ruiz,-8.402197,-74.548488,MINSA,0
151,1863,I.E. 64103 diego Ferre Sosa,-8.361984,-74.578374,MINSA,0
"152,1863,""I.E. N°64095 """"elias Aguirre"""""",-8.356122,-74.59656,MINSA,0"
153,1863,Universidad Alas Peruanas Filial Pucallpa,-8.370616,-74.56773,ESSALUD,0
154,1747,I.E. 0180,-7.0619828,-76.58990394,MINSA,0
155,1747,I.E. 0482 Ciro Saldaña,-7.0516719,-76.59433619,DIRESA,0
156,1753,I.E. 0274 Luisa Sanchez Ramirez,-6.61611,-76.6908,DIRESA,0
157,1758,I.E. 0161 Anibal Segundo Del Aguila Guevara,-6.93688,-76.77291492,MINSA,0
158,1764,I.E. 0256,-6.42392888,-76.508081,DIRESA,0
159,1764,I.E. Martín De La Riva,-6.41792137,-76.52804735,MINSA,0
